Site,Location,Session,MSE,PSNR,NMI,SSIM,SoftwareVersion,Temperature
137-0003,Caliber,2023-10-03 16_28_34,0.0026951558781991,33.03967408359159,1.4572531017340329,0.9839499969239972,8.6.0,25.0
137-0003,Caliber,2023-10-03 16_28_34,0.0026951759907657,33.039641674541734,1.4572501367430954,0.9839511385915668,8.6.0,25.0
137-0003,Caliber,2023-10-04 16_15_10,0.0028830126603077,33.50518376356396,1.461046179822066,0.9830703303052798,8.6.0,24.0
137-0003,Caliber,2023-10-04 16_15_10,0.0028831631558587,33.50495706431144,1.4610485518049012,0.9830694878490196,8.6.0,24.0
137-0003,Caliber,2023-10-05 18_33_15,0.0026770233240693,33.25873928389867,1.4599580234786111,0.9840028757215364,8.6.0,22.0
137-0003,Caliber,2023-10-05 18_33_15,0.0026768008268638,33.259100256937415,1.4599458849255935,0.9840048601089608,8.6.0,22.0
137-0003,Caliber,2023-10-09 17_05_58,0.0026077451760222,33.27215828684093,1.4614497552207892,0.9846403927206802,8.6.0,24.0
137-0003,Caliber,2023-10-09 17_05_58,0.0026072594578422,33.27296727835976,1.461457685000478,0.98463870870787,8.6.0,24.0
137-0003,Caliber,2023-10-10 17_04_50,0.0027572170537383,32.96721439246234,1.4561413047420382,0.9838266056094914,8.6.0,24.0
137-0003,Caliber,2023-10-10 17_04_50,0.0027572170537383,32.96721439246234,1.4561413047420382,0.9838266056094914,8.6.0,24.0
137-0003,Caliber,2023-10-11 15_53_30,0.002619321240537,33.27777767125771,1.4610256638179726,0.984560272516183,8.6.0,24.0
137-0003,Caliber,2023-10-11 15_53_30,0.002619321240537,33.27777767125771,1.4610256638179726,0.984560272516183,8.6.0,24.0
137-0003,Caliber,2023-10-16 14_50_10,0.0027357304913032,33.6466759856158,1.463895969779856,0.983948331489102,8.6.0,22.0
137-0003,Caliber,2023-10-16 14_50_10,0.0027357304913032,33.6466759856158,1.463895969779856,0.983948331489102,8.6.0,22.0
137-0003,Caliber,2023-10-17 15_30_58,0.0031491582313566,32.73194133080779,1.448291972373792,0.9817948114845744,8.6.0,24.0
137-0003,Caliber,2023-10-17 15_30_58,0.0031491582313566,32.73194133080779,1.448291972373792,0.9817948114845744,8.6.0,24.0
137-0003,Caliber,2023-10-18 14_44_55,0.002692600720717,33.27238273996787,1.4599714085250186,0.9845557492545022,8.6.0,24.0
137-0003,Caliber,2023-10-18 14_44_55,0.002692600720717,33.27238273996787,1.4599714085250186,0.9845557492545022,8.6.0,24.0
137-0003,Caliber,2023-10-19 14_04_13,0.0027821206208795,33.27983250983381,1.4589120101460122,0.9839470016959562,8.6.0,24.0
137-0003,Caliber,2023-10-19 14_04_13,0.0027821206208795,33.27983250983381,1.4589120101460122,0.9839470016959562,8.6.0,24.0
137-0003,Caliber,2023-10-23 14_31_53,0.0027247547494106,33.29133774358111,1.4601381107336906,0.9839845751737116,8.6.0,24.0
137-0003,Caliber,2023-10-23 14_31_53,0.0027247547494106,33.29133774358111,1.4601381107336906,0.9839845751737116,8.6.0,24.0
137-0003,Caliber,2023-10-24 19_47_52,0.0026893833801362,32.99586889469532,1.456753558783501,0.9840620041131036,8.6.0,24.0
